search URL:,https://patents.google.com/?q=%28logistics+automation+inventory+management+distribution+system+freight+management+warehousing+supply+chain+or+transportation%29&page=1&oq=logistics+or+automation+or+inventory+management+or+distribution+system+or+freight+management+or+warehousing+or+supply+chain+or+transportation
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-3950400-A1,Heavy truck fuel-saving robot device and control method ,"LCB International Inc., Gesang, Wangjie, Cha, Wei","Wangjie GESANG, Wei CHA",2019-03-29,2020-03-16,2022-02-09,,https://patents.google.com/patent/EP3950400A1/en,https://patentimages.storage.googleapis.com/fd/45/bd/f0848ba1443896/imgf0001.png
US-11093146-B2,Automatic load rebalancing of a write group ,"Pure Storage, Inc.","Ronald Karr, Peter E. Kirkpatrick, Andrew R. Bernat, Tsu-Hao Chang, Phil Hord, Benjamin Scholbrock, Radek Aster",2017-01-12,2018-10-25,2021-08-17,2021-08-17,https://patents.google.com/patent/US11093146B2/en,https://patentimages.storage.googleapis.com/6a/3e/f8/5f700214b983d2/US11093146-20210817-D00000.png
US-2021192412-A1,Cognitive Intelligent Autonomous Transformation System for actionable Business intelligence (CIATSFABI) ,Sankar Krishnaswamy,Sankar Krishnaswamy,2017-11-27,2021-02-27,2021-06-24,,https://patents.google.com/patent/US20210192412A1/en,https://patentimages.storage.googleapis.com/e7/5e/6a/5a4d9c5a3bd591/US20210192412A1-20210624-D00000.png
US-10368204-B2,Low power wide area network (LPWAN) region awareness method and system ,Flex Ltd.,Juan Benigno Nogueira-Nine,2017-07-27,2018-07-26,2019-07-30,2019-07-30,https://patents.google.com/patent/US10368204B2/en,https://patentimages.storage.googleapis.com/79/7e/61/1adbfab9778b20/US10368204-20190730-D00000.png
US-11403290-B1,Managing an artificial intelligence infrastructure ,"Pure Storage, Inc.","Brian Gold, Emily Watkins, Ivan Jibaja, Igor Ostrovsky, Roy Kim",2017-10-19,2019-07-18,2022-08-02,2022-08-02,https://patents.google.com/patent/US11403290B1/en,https://patentimages.storage.googleapis.com/10/15/3d/b123e48b2edb51/US11403290-20220802-D00000.png
US-10671434-B1,Storage based artificial intelligence infrastructure ,"Pure Storage, Inc.","Brian Gold, Emily Watkins, Ivan Jibaja, Igor Ostrovsky, Roy Kim",2017-10-19,2018-07-20,2020-06-02,2020-06-02,https://patents.google.com/patent/US10671434B1/en,https://patentimages.storage.googleapis.com/c2/79/3c/bd4d2f335af7b6/US10671434-20200602-D00000.png
US-10671408-B1,Automatic storage system configuration for mediation services ,"Pure Storage, Inc.","John Colgrove, Thomas Gill, David Grunwald, Ronald Karr, Aditya Sethuraman, Kunal Trivedi, Eric Tung",2017-03-10,2017-11-01,2020-06-02,2020-06-02,https://patents.google.com/patent/US10671408B1/en,https://patentimages.storage.googleapis.com/95/92/ee/af835f7771728e/US10671408-20200602-D00000.png
CN-108177946-B,A kind of information-based complete intelligent carton production linkage management method ,"龙利得智能科技股份有限公司, 奉其奉印刷科技（上海）有限公司","徐强, 徐龙平, 向存林, 熊恒",2018-01-17,2018-01-17,2019-06-18,2019-06-18,https://patents.google.com/patent/CN108177946B/en,
EP-3352952-B1,Networked robotic manipulators ,"Amazon Technologies, Inc.","Andrew Stubbs, Diane Grieselhuber Mills, John Gregory Longtine, Matthew David Verminski",2015-09-21,2016-09-20,2022-03-02,2022-03-02,https://patents.google.com/patent/EP3352952B1/en,https://patentimages.storage.googleapis.com/96/15/97/0f18a5ab51bbec/imgf0001.png
US-11455409-B2,Storage layer data obfuscation ,"Pure Storage, Inc.","James Fisher, Brian Gold, Taylor Ericson, Ronald Karr",2018-05-21,2018-10-30,2022-09-27,2022-09-27,https://patents.google.com/patent/US11455409B2/en,https://patentimages.storage.googleapis.com/8c/13/be/5bbfd68505eae2/US11455409-20220927-D00000.png
US-11782455-B1,Connected fleet management system with low earth orbit satellite communications ,"Avis Budget Car Rental, LLC",John Turato,2017-05-22,2021-07-06,2023-10-10,2023-10-10,https://patents.google.com/patent/US11782455B1/en,https://patentimages.storage.googleapis.com/f1/93/69/b0e6ed981f9721/US11782455-20231010-D00000.png
US-11481652-B2,System and method for recommendations in ubiquituous computing environments ,Gregory Knox,Gregory Knox,2015-06-23,2020-07-15,2022-10-25,2022-10-25,https://patents.google.com/patent/US11481652B2/en,https://patentimages.storage.googleapis.com/9f/d7/83/3f56e6ff055d6e/US11481652-20221025-D00000.png
US-11586365-B2,Applying a rate limit across a plurality of storage systems ,"Pure Storage, Inc.","Mudit Aggarwal, Yuval Frandzel",2018-10-26,2021-04-16,2023-02-21,2023-02-21,https://patents.google.com/patent/US11586365B2/en,https://patentimages.storage.googleapis.com/a0/cc/b5/03ea1a02d0558b/US11586365-20230221-D00000.png
US-10977704-B2,In store voice picking system ,"Intelligrated Headquarters, Llc",Michael Donovan MCCARTHY,2014-02-24,2018-01-04,2021-04-13,2021-04-13,https://patents.google.com/patent/US10977704B2/en,https://patentimages.storage.googleapis.com/a1/c9/12/04f65ba8f80d56/US10977704-20210413-D00000.png
DE-102006057644-A1,Container for shipping objects and method for producing the containers ,Deutsche Post Ag,"Ulrich Dr. Keith, Stefan Wilms",2006-12-05,2006-12-05,2008-06-12,,https://patents.google.com/patent/DE102006057644A1/en,
US-10970395-B1,Security threat monitoring for a storage system ,"Pure Storage, Inc","Apoorva Bansal, Olivia Watkins, Jonathan Hayase, Nikita Bhargava, Christopher Golden, Sergey Zhuravlev",2018-01-18,2018-10-23,2021-04-06,2021-04-06,https://patents.google.com/patent/US10970395B1/en,https://patentimages.storage.googleapis.com/0b/23/01/c961b50f8cef6f/US10970395-20210406-D00000.png
US-2020272981-A1,Decentralized ledger supply chain planning interchange ,Jon Kirkegaard,Jon Kirkegaard,2019-02-22,2020-02-22,2020-08-27,,https://patents.google.com/patent/US20200272981A1/en,https://patentimages.storage.googleapis.com/76/e8/5b/01e9d078771075/US20200272981A1-20200827-D00000.png
US-10452444-B1,Storage system with compute resources and shared storage resources ,"Pure Storage, Inc.","Ivan Jibaja, Stefan Dorsett, Prashant Jaikumar, Roy Kim, Curtis Pullen",2017-10-19,2018-01-30,2019-10-22,2019-10-22,https://patents.google.com/patent/US10452444B1/en,https://patentimages.storage.googleapis.com/93/3a/dc/b83f5e3355e997/US10452444-20191022-D00000.png
US-11068389-B2,Data resiliency with heterogeneous storage ,"Pure Storage, Inc.","Ying Gao, Faissal Sleiman, Matthew D. Fleming",2017-06-11,2018-10-11,2021-07-20,2021-07-20,https://patents.google.com/patent/US11068389B2/en,https://patentimages.storage.googleapis.com/a7/65/44/d6851741f67dcf/US11068389-20210720-D00000.png
US-2023127976-A1,Queue utilization for optimized storage access ,Inc.,Roland Dreier,2016-10-04,2022-12-22,2023-04-27,,https://patents.google.com/patent/US20230127976A1/en,https://patentimages.storage.googleapis.com/5b/92/d4/43371141f26ae9/US20230127976A1-20230427-D00000.png
US-2022382917-A1,Encryption in a storage array ,"Pure Storage, Inc.","Kiron Vijayasankar, Alexandre Xavier DuChateau, Constantine P. Sapuntzakis, Yuval Frandzel",2017-08-31,2022-08-11,2022-12-01,,https://patents.google.com/patent/US20220382917A1/en,https://patentimages.storage.googleapis.com/ca/f3/36/addb8eb6325501/US20220382917A1-20221201-D00000.png
US-2023186200-A1,Data collection in industrial environment using machine learning to forecast future states of industrial environment based on noise values ,"Strong Force Iot Portfolio 2016, Llc","Charles H. Cella, Gerald William Duffy, JR., Jeffrey P. McGuckin, Brent BLIVEN, Andrew Cardno, Jenna Parenti",2020-10-04,2022-12-14,2023-06-15,,https://patents.google.com/patent/US20230186200A1/en,https://patentimages.storage.googleapis.com/b3/92/bb/759e4a27855b90/US20230186200A1-20230615-D00000.png
KR-102000416-B1,Methods and Systems for Industrial Objects Internet ,"스트롱 포스 아이오티 포트폴리오 2016, 엘엘씨","찰스 호워드 셀라, 주니어 제랄드 윌리엄 더피, 제프리 피. 맥거킨",2016-05-09,2017-05-09,2019-07-15,2019-07-15,https://patents.google.com/patent/KR102000416B1/en,https://patentimages.storage.googleapis.com/9e/9e/c2/013c315699bebb/112018122975931-pct00001.png
JP-5681163-B2,System and method for operating a mobile drive unit ,アマゾン・テクノロジーズ・インコーポレーテッド,"アール ウーマン ピーター, アール  ウーマン ピーター, ダンドレア ラファエロ, ダンドレア ラファエロ, ティー バーベヘン マイケル, ティー  バーベヘン マイケル, イー ホフマン アンドリュー, イー  ホフマン アンドリュー, シー コーラー デイヴィッド, シー  コーラー デイヴィッド, シー マウンツ マイケル, シー  マウンツ マイケル",2006-06-19,2012-12-04,2015-03-04,2015-03-04,https://patents.google.com/patent/JP5681163B2/en,https://patentimages.storage.googleapis.com/bf/dd/25/cff4bd08e458d4/0005681163-2.png
US-11087316-B2,Electronic tag and system and method for securing electronic tag ,Taiwan Development & Construction Co.,Jim Tung-Hai Chow,2013-02-08,2019-11-12,2021-08-10,2021-08-10,https://patents.google.com/patent/US11087316B2/en,https://patentimages.storage.googleapis.com/c0/43/27/1dbd152d4905a7/US11087316-20210810-D00000.png
US-2019251279-A1,Storage layer data security ,"Pure Storage, Inc.","Mark Emberson, Mark Cox, Tyler Power",2018-02-13,2019-01-23,2019-08-15,,https://patents.google.com/patent/US20190251279A1/en,https://patentimages.storage.googleapis.com/71/25/af/43c2def7884230/US20190251279A1-20190815-D00000.png
US-11436023-B2,Mechanism for updating host file system and flash translation layer based on underlying NAND technology ,"Pure Storage, Inc.","Russell Sears, Hari Kannan, Yuhong Mao",2018-05-31,2019-04-12,2022-09-06,2022-09-06,https://patents.google.com/patent/US11436023B2/en,https://patentimages.storage.googleapis.com/fa/a6/85/4a77391ab24a93/US11436023-20220906-D00000.png
JP-6105540-B2,System and method for adjusting movement of a mobile drive unit ,アマゾン・テクノロジーズ・インコーポレーテッド,"ダンドレア ラファエロ, ダンドレア ラファエロ, アール ウーマン ピーター, アール  ウーマン ピーター, ティー バーベヘン マイケル, ティー  バーベヘン マイケル, イー ホフマン アンドリュー, イー  ホフマン アンドリュー, マウンツ マイケル, マウンツ マイケル",2006-06-19,2014-10-10,2017-03-29,2017-03-29,https://patents.google.com/patent/JP6105540B2/en,https://patentimages.storage.googleapis.com/46/d0/a4/cacbb738b199a4/0006105540-2.png
CN-106663223-B,For carrying out the system and method for probability semanteme sensing in sensing network ,维里逊专利及许可公司,"彼得·雷蒙德·弗洛朗斯, 克里斯托弗·大卫·萨克塞, 肯特·W·吕霍尔查克",2014-03-06,2015-03-06,2019-10-22,2019-10-22,https://patents.google.com/patent/CN106663223B/en,
US-11205178-B2,Converting processes into multiple blockchain smart contracts ,International Business Machines Corporation,"Vishal S. Batra, Praveen Jayachandran, Shachi Sharma, Abhishek Singh",2017-12-28,2017-12-28,2021-12-21,2021-12-21,https://patents.google.com/patent/US11205178B2/en,https://patentimages.storage.googleapis.com/57/86/41/d5746e2b8714c2/US11205178-20211221-D00000.png
US-2022030009-A1,Computer security based on artificial intelligence ,Syed Kamran Hasan,Syed Kamran Hasan,2016-01-24,2021-05-22,2022-01-27,,https://patents.google.com/patent/US20220030009A1/en,https://patentimages.storage.googleapis.com/ac/e6/90/d66b1da92ab057/US20220030009A1-20220127-D00000.png
US-11782614-B1,Encrypting data to optimize data reduction ,"Pure Storage, Inc.","Constantine P. Sapuntzakis, Timothy W. Brennan, Yuval Frandzel",2017-12-21,2021-01-28,2023-10-10,2023-10-10,https://patents.google.com/patent/US11782614B1/en,https://patentimages.storage.googleapis.com/ed/43/6b/9294aa09374ca6/US11782614-20231010-D00000.png
US-2023004929-A1,Load tracking computing platform and user interface ,"Target Brands, Inc.","Eric Christopher Helvie, Adam Lee Hollenbeck, Justine Rockers, Thomas Young",2019-11-26,2022-09-13,2023-01-05,,https://patents.google.com/patent/US20230004929A1/en,https://patentimages.storage.googleapis.com/4d/d3/d5/1549543e8ebeff/US20230004929A1-20230105-D00000.png
US-11907228-B2,Techniques for in-memory stitching ,Oracle International Corporation,"Eric Hsiao, Jeffrey Toillion, Amy Yang, Bingqing Shang, Dennis M. Chin, Robert Carina, Simone Geib, Santosh Kumar",2019-10-14,2022-06-07,2024-02-20,2024-02-20,https://patents.google.com/patent/US11907228B2/en,https://patentimages.storage.googleapis.com/e6/aa/75/07a4875248b3c2/US11907228-20240220-D00000.png
US-11112989-B2,Utilizing a decentralized storage network for data storage ,"Pure Storage, Inc.",Michael Richardson,2018-03-09,2019-03-05,2021-09-07,2021-09-07,https://patents.google.com/patent/US11112989B2/en,https://patentimages.storage.googleapis.com/59/1d/70/5eb1f58952ca2f/US11112989-20210907-D00000.png
US-10877827-B2,Read voltage optimization ,"Pure Storage, Inc.",Nenad Miladinovic,2017-09-15,2019-01-25,2020-12-29,2020-12-29,https://patents.google.com/patent/US10877827B2/en,https://patentimages.storage.googleapis.com/0c/94/39/e38fccbc151a47/US10877827-20201229-D00000.png
US-10454498-B1,Fully pipelined hardware engine design for fast and efficient inline lossless data compression ,"Pure Storage, Inc.",Yuhong Mao,2018-10-18,2018-10-18,2019-10-22,2019-10-22,https://patents.google.com/patent/US10454498B1/en,https://patentimages.storage.googleapis.com/5c/db/db/c60b564336aa7e/US10454498-20191022-D00000.png
US-11915288-B2,Useful and novel shopping application ,"Noww, Inc.",Jo Anne Kauffman Clark,2018-04-20,2019-04-19,2024-02-27,2024-02-27,https://patents.google.com/patent/US11915288B2/en,https://patentimages.storage.googleapis.com/3b/2e/18/5246920c809cca/US11915288-20240227-D00000.png
US-11080155-B2,Identifying error types among flash memory ,"Pure Storage, Inc.","Hari Kannan, Randy Zhao",2016-07-24,2018-10-30,2021-08-03,2021-08-03,https://patents.google.com/patent/US11080155B2/en,https://patentimages.storage.googleapis.com/6f/e6/69/d395735726cb5d/US11080155-20210803-D00000.png
US-11010233-B1,Hardware-based system monitoring ,"Pure Storage, Inc","Christopher Golden, Emily Watkins",2018-01-18,2019-01-16,2021-05-18,2021-05-18,https://patents.google.com/patent/US11010233B1/en,https://patentimages.storage.googleapis.com/c4/4e/1e/673b0069bfbfb2/US11010233-20210518-D00000.png
US-11403019-B2,Deduplication-aware per-tenant encryption ,"Pure Storage, Inc.","Swapnil Chandrashekhar Nagle, Virendra Prakashaiah, Ronald Karr",2017-04-21,2018-10-26,2022-08-02,2022-08-02,https://patents.google.com/patent/US11403019B2/en,https://patentimages.storage.googleapis.com/14/9a/e7/7028865a1c979a/US11403019-20220802-D00000.png
US-2021279204-A1,Verifying data has been correctly replicated to a replication target ,"Pure Storage, Inc.","David Grunwald, Luke Paulsen, Ronald Karr, Thomas Gill, Yao-Cheng Tien",2017-12-14,2021-05-17,2021-09-09,,https://patents.google.com/patent/US20210279204A1/en,https://patentimages.storage.googleapis.com/0d/bc/a3/1a872c8bd4d6d8/US20210279204A1-20210909-D00000.png
US-11587370-B2,Distributed maintenance system and methods for connected fleet ,"Avis Budget Car Rental, LLC","Ohad Zeira, Sang Lee",2018-02-19,2021-11-23,2023-02-21,2023-02-21,https://patents.google.com/patent/US11587370B2/en,https://patentimages.storage.googleapis.com/98/c2/8d/a622d8926df1d4/US11587370-20230221-D00000.png
US-2019361697-A1,Automatically creating a data analytics pipeline ,"Pure Storage, Inc.","Jimmy T. Hu, Nidhi Doshi, Svitlana Tumanova, Taras Glek",2018-05-22,2018-10-30,2019-11-28,,https://patents.google.com/patent/US20190361697A1/en,https://patentimages.storage.googleapis.com/a7/11/e7/3c736dce9f9ec2/US20190361697A1-20191128-D00000.png
US-10846216-B2,Scalable garbage collection ,"Pure Storage, Inc.","Brandon Davis, Wentian Cui, Matthew Paul Fay",2018-10-25,2018-10-25,2020-11-24,2020-11-24,https://patents.google.com/patent/US10846216B2/en,https://patentimages.storage.googleapis.com/a5/ae/43/7ed0bfd5715906/US10846216-20201124-D00000.png
US-10936238-B2,Hybrid data tiering ,"Pure Storage, Inc.","Tyler Power, Mark Cox, Mark Emberson",2017-11-28,2018-11-19,2021-03-02,2021-03-02,https://patents.google.com/patent/US10936238B2/en,https://patentimages.storage.googleapis.com/c9/33/71/2369818a5451ee/US10936238-20210302-D00000.png
US-11438279-B2,Non-disruptive conversion of a clustered service from single-chassis to multi-chassis ,"Pure Storage, Inc.","Matthew Strathman, Oksana Aguilera, Smruthi Manjunath, Bennett Amodio",2018-07-23,2018-10-11,2022-09-06,2022-09-06,https://patents.google.com/patent/US11438279B2/en,https://patentimages.storage.googleapis.com/1b/93/d2/2ed45bdbd13e7b/US11438279-20220906-D00000.png
CN-107343052-B,Logistics monitoring system combining WSN and RFID ,苏州大学,"王宜怀, 陈建明, 姚望舒, 王绍丹",2017-07-25,2017-07-25,2019-12-27,2019-12-27,https://patents.google.com/patent/CN107343052B/en,
US-2021209546-A1,Systems and methods of blockchain transaction recordation in a food supply chain ,"Ripe Technology, Inc.","Raja Ramachandran, Philip Harris, Christian Saucier, Nathan Jin, Francis Gouillart",2017-03-29,2020-12-07,2021-07-08,,https://patents.google.com/patent/US20210209546A1/en,https://patentimages.storage.googleapis.com/8b/db/87/19009eb3c15642/US20210209546A1-20210708-D00000.png
US-11912500-B2,Automated system for transporting payloads ,"Walmart Apollo, Llc","John Lert, Jr.",2013-03-15,2023-01-18,2024-02-27,2024-02-27,https://patents.google.com/patent/US11912500B2/en,https://patentimages.storage.googleapis.com/d4/de/b5/45e6894ffff5e1/US11912500-20240227-D00000.png
US-10613791-B2,Portable snapshot replication between storage systems ,"Pure Storage, Inc.","Dirk Meister, Omer Asad, Yisha Zhao, Subramaniam Periyagaram, Dilip Kumar Uppugandla",2017-06-12,2018-06-11,2020-04-07,2020-04-07,https://patents.google.com/patent/US10613791B2/en,https://patentimages.storage.googleapis.com/e5/3d/1d/4eca49ce41076a/US10613791-20200407-D00000.png
US-10852037-B2,"Systems, methods, and devices including modular, fixed and transportable structures incorporating solar and wind generation technologies for production of electricity ","Spectra Systems & Technologies, Inc.","Robert Sant'Anselmo, Arnold Stephen Arch",2009-08-28,2016-05-17,2020-12-01,2020-12-01,https://patents.google.com/patent/US10852037B2/en,https://patentimages.storage.googleapis.com/60/36/ac/b08b93ffebcb31/US10852037-20201201-D00000.png
US-2022351135-A1,Predictive analytics for transport services ,"Runbuggy Omi, Inc.","Bryan Mark BOYE, Mark Edward HOYE",2016-09-30,2022-07-11,2022-11-03,,https://patents.google.com/patent/US20220351135A1/en,https://patentimages.storage.googleapis.com/df/3a/58/855b37f0cf5c1e/US20220351135A1-20221103-D00000.png
US-11035940-B2,"Method, apparatus, and system for wireless proximity and presence monitoring ","Origin Wireless, Inc.","Qinyi Xu, Yi Han, Hung-Quoc Duc Lai, Beibei Wang, Oscar Chi-Lim Au, K. J. Ray Liu",2015-07-17,2019-10-29,2021-06-15,2021-06-15,https://patents.google.com/patent/US11035940B2/en,https://patentimages.storage.googleapis.com/9f/65/5d/2c96fb614de690/US11035940-20210615-D00000.png
EP-2820741-B1,"Network infrastructure component, composite system having a plurality of network infrastructure components, and use of the composite system ",Ropa Development GmbH,Johannes Doerndorfer,2012-03-02,2013-03-01,2016-07-06,2016-07-06,https://patents.google.com/patent/EP2820741B1/en,https://patentimages.storage.googleapis.com/fa/5f/b5/1b5a498d0dcc86/imgf0001.png
CN-105976030-B,Construction based on multiple agent railway platform scheduling intelligent sequencing model ,武汉宝钢华中贸易有限公司,"高山, 王永川, 姚琳, 车静, 张东, 刘利",2016-03-15,2016-03-15,2019-08-20,2019-08-20,https://patents.google.com/patent/CN105976030B/en,
US-10212548-B2,Systems and methods to determine the locations of packages and provide navigational guidance to reach the packages ,OneMarket Network LLC,Erik Davin Kokkonen,2016-04-28,2017-12-29,2019-02-19,2019-02-19,https://patents.google.com/patent/US10212548B2/en,https://patentimages.storage.googleapis.com/40/c6/3f/1c3add894231a4/US10212548-20190219-D00000.png
US-11716385-B2,Utilizing cloud-based storage systems to support synchronous replication of a dataset ,"Pure Storage, Inc.","Aswin Karumbunathan, John Colgrove, Constantine Sapuntzakis, Joshua Freilich, Naveen Neelakantam, Sergey Zhuravlev, Ronald Karr",2017-03-10,2021-07-29,2023-08-01,2023-08-01,https://patents.google.com/patent/US11716385B2/en,https://patentimages.storage.googleapis.com/72/61/ea/796a658e926f76/US11716385-20230801-D00000.png
US-11461732-B2,Logistics apparatus and method to assist delivery of items to recipients ,"Ford Global Technologies, Llc","Tom Robert George Thompson, Angela Fessler, Phil Danne, Ruth Tilsley, Gabor Bakler-Kugler, Ahmad Jasim",2019-08-27,2020-08-26,2022-10-04,2022-10-04,https://patents.google.com/patent/US11461732B2/en,https://patentimages.storage.googleapis.com/eb/57/1e/b4ad99970296e6/US11461732-20221004-D00000.png
CN-112512944-B,Cargo container and cargo logistics method ,匹克八西普科技股份有限公司,J·A·海德,2018-05-22,2019-05-22,2022-09-20,2022-09-20,https://patents.google.com/patent/CN112512944B/en,https://patentimages.storage.googleapis.com/a5/7d/d7/e632870190c683/HDA0002909634650000011.png
US-8954190-B2,Optimization of pharmacy operations using automatic distributed vending system ,Zachary Leonid Braunstein,Zachary Leonid Braunstein,2011-08-01,2011-12-23,2015-02-10,2015-02-10,https://patents.google.com/patent/US8954190B2/en,https://patentimages.storage.googleapis.com/02/26/b5/e0be6be49800a4/US08954190-20150210-D00000.png
US-RE47394-E,Wirelessly transferring data to a packaged electronic device ,"Wsou Investments, Llc","Jussi P.O. Ruutu, Jani P. J. Ollikainen, Joni J. M. Jantunen, Jukka P. Reunamaki, Mauri J. Honkanen, Jyri J. Hamalainen, Jarmo T. Arponen",2011-10-31,2016-09-02,2019-05-14,2019-05-14,https://patents.google.com/patent/USRE47394E1/en,https://patentimages.storage.googleapis.com/5b/58/b1/4952b6a0c4d207/USRE047394-20190514-D00000.png
US-2020394183-A1,"System and method of executing, confirming and storing a transaction in a serverless decentralized node network ",Subramanya R. Jois,Subramanya R. Jois,2019-06-12,2019-06-12,2020-12-17,,https://patents.google.com/patent/US20200394183A1/en,https://patentimages.storage.googleapis.com/5d/18/bc/bd83a8c60e02c1/US20200394183A1-20201217-D00000.png
JP-7097675-B2,Risk identification in the supply chain ,ダッソー システムズ アメリカス コーポレイション,ビー．シェノイ ギリッシュ,2016-05-25,2017-05-18,2022-07-08,2022-07-08,https://patents.google.com/patent/JP7097675B2/en,https://patentimages.storage.googleapis.com/75/39/10/b25367053839bf/0007097675000001.png
US-11451391-B1,Encryption key management in a storage system ,"Pure Storage, Inc.","Andrew Bernat, Alexandre Duchâteau, Marco Sanvido, Constantine Sapuntzakis, Kiron Vijayasankar",2017-11-01,2019-10-23,2022-09-20,2022-09-20,https://patents.google.com/patent/US11451391B1/en,https://patentimages.storage.googleapis.com/64/e7/d7/319b13360ef893/US11451391-20220920-D00000.png
US-11677687-B2,Switching between fault response models in a storage system ,"Pure Storage, Inc.","David Grunwald, Ronald Karr, Thomas Gill, Zoheb Shivani, John Colgrove, Connor Brooks, Claudiu Schmidt",2018-05-21,2021-04-20,2023-06-13,2023-06-13,https://patents.google.com/patent/US11677687B2/en,https://patentimages.storage.googleapis.com/9d/0c/df/e12137acd8eed7/US11677687-20230613-D00000.png
US-11412343-B2,Geo-hashing for proximity computation in a stream of a distributed system ,Oracle International Corporation,"Santosh Kumar, Santosh Kumar Singh, Prithviraj Singh, Rahul Gupta, Yathish Gatty, Hanumesh Thippanna Govindappa",2017-09-30,2018-09-06,2022-08-09,2022-08-09,https://patents.google.com/patent/US11412343B2/en,https://patentimages.storage.googleapis.com/53/ce/87/ff9254ff286dbd/US11412343-20220809-D00000.png
US-11263095-B1,Managing a data analytics pipeline ,"Pure Storage, Inc.","Ivan Jibaja, Curtis Pullen, Prashant Jaikumar, Stefan Dorsett, Gaurav Jain, Neil Vachharajani, Srinivas Chellappa",2018-03-26,2020-09-02,2022-03-01,2022-03-01,https://patents.google.com/patent/US11263095B1/en,https://patentimages.storage.googleapis.com/a6/26/f2/f35467b87bbfd6/US11263095-20220301-D00000.png
US-11567810-B1,Cost optimized workload placement ,"Pure Storage, Inc.","Chadd Kenney, Farhan Abrol, Lei Zhou, Yi-Chin WU, Apoorva Bansal",2017-06-12,2020-10-23,2023-01-31,2023-01-31,https://patents.google.com/patent/US11567810B1/en,https://patentimages.storage.googleapis.com/90/70/1e/d347552914bd56/US11567810-20230131-D00000.png
US-2021166143-A1,"Computer-Implemented Systems and Methods of Analyzing Spatial, Temporal and Contextual Elements of Data for Predictive Decision-Making ",Transvoyant Inc.,"Kirk Elliot Bloomquist, Christopher Park, Dennis William Groseclose",2013-09-27,2021-01-15,2021-06-03,,https://patents.google.com/patent/US20210166143A1/en,https://patentimages.storage.googleapis.com/0f/48/07/e7626d5806e32c/US20210166143A1-20210603-D00000.png
US-2021224701-A1,Computer-implemented systems and methods of analyzing data in an ad-hoc network for predictive decision-making ,"Transvoyant, Inc.","Kirk Elliot Bloomquist, Dennis William Groseclose",2013-09-27,2021-03-12,2021-07-22,,https://patents.google.com/patent/US20210224701A1/en,https://patentimages.storage.googleapis.com/35/dd/7f/001c943c50b11a/US20210224701A1-20210722-D00000.png
US-11960777-B2,Utilizing multiple redundancy schemes within a unified storage element ,"Pure Storage, Inc.","Ronald Karr, Constantine Sapuntzakis, John Colgrove",2017-06-12,2023-02-27,2024-04-16,2024-04-16,https://patents.google.com/patent/US11960777B2/en,https://patentimages.storage.googleapis.com/5d/44/43/91bab859c49c71/US11960777-20240416-D00000.png
US-10789020-B2,Recovering data within a unified storage element ,"Pure Storage, Inc.","Ronald Karr, Constantine Sapuntzakis, Mark McAuliffe, Farhan Abrol, Neil Vachharajani, Timothy Brennan",2017-06-12,2018-04-30,2020-09-29,2020-09-29,https://patents.google.com/patent/US10789020B2/en,https://patentimages.storage.googleapis.com/11/31/d0/b88cd555473b91/US10789020-20200929-D00000.png
US-2022223056-A1,Unmanned aerial vehicle systems ,Warren F. LeBlanc,"Dennis J. Dupray, Frederick W. LeBlanc",2015-07-29,2021-10-11,2022-07-14,,https://patents.google.com/patent/US20220223056A1/en,https://patentimages.storage.googleapis.com/3c/e2/ce/99cfdcf14aa406/US20220223056A1-20220714-D00000.png
CN-108750511-B,Fruit picking type sorting method ,上海托华机器人有限公司,"柳智, 周南松",2018-06-21,2018-06-21,2020-06-23,2020-06-23,https://patents.google.com/patent/CN108750511B/en,https://patentimages.storage.googleapis.com/cb/17/f6/7485ce836b8a1c/HDA0001703437350000011.png
JP-7411651-B2,Techniques for ranking content item recommendations ,オラクル・インターナショナル・コーポレイション,"ゴシャール，サンディップ, パッタナヤック，ナリニ・カンタ, ピーター，ビベク, カドラバル，ハレーシュ",2018-10-18,2019-10-18,2024-01-11,2024-01-11,https://patents.google.com/patent/JP7411651B2/en,https://patentimages.storage.googleapis.com/a3/2e/32/37763f5899d9de/0007411651000007.png
US-10549915-B1,System and method of asynchronous robotic retrieval and delivery of items ,"Vecna Robotics, Inc.",Daniel Theobald,2018-07-13,2018-07-13,2020-02-04,2020-02-04,https://patents.google.com/patent/US10549915B1/en,https://patentimages.storage.googleapis.com/cc/ed/70/0cc9b4d7078c19/US10549915-20200204-D00000.png
US-2024012390-A1,"Devices, systems and methods for predicting future consumption values of load(s) in power distribution systems ","EI Electronics, LLC, d/b/a Electro Industries/Gauge Tech","Elly Engelstein, Luna A. Koval, Erran Kagan",2018-02-17,2023-09-12,2024-01-11,,https://patents.google.com/patent/US20240012390A1/en,https://patentimages.storage.googleapis.com/3b/91/76/0970031d811755/US20240012390A1-20240111-D00000.png
US-11734704-B2,"Devices, systems and methods for the collection of meter data in a common, globally accessible, group of servers, to provide simpler configuration, collection, viewing, and analysis of the meter data ",Ei Electronics Llc,"Luna A. Koval, Erran Kagan",2018-02-17,2019-02-19,2023-08-22,2023-08-22,https://patents.google.com/patent/US11734704B2/en,https://patentimages.storage.googleapis.com/f7/03/5e/c32efa092e492c/US11734704-20230822-D00000.png
